轮次,维度,提示词,显存MB,峰值显存MB,延迟秒,熵,重复率,状态,错误
42,中性,请问地铁站怎么走,6367.1,6388.0,14.03,0.8572,0.032,成功,
43,复杂混合,虽然赢了比赛，但我最好的朋友受伤了,6367.1,6388.0,14.27,1.6864,0.0,成功,
44,复杂混合,我爱我的工作，但是工资真的太低了,6367.1,6388.0,14.31,1.2623,0.128,成功,
45,复杂混合,你给了我这么多帮助，我却没办法回报你,6367.1,6388.0,14.71,1.1735,0.016,成功,
46,开心,你今天真好看,6367.1,6388.0,14.82,0.6075,0.232,成功,
47,开心,终于等到你了，我好开心,6367.1,6388.0,14.02,1.0667,0.104,成功,
48,开心,今天的中标消息让我兴奋得睡不着,6367.1,6388.0,14.37,1.0447,0.024,成功,
49,悲伤,一切都结束了,6367.1,6388.0,14.3,1.4084,0.024,成功,
50,悲伤,他走了，再也不会回来了,6367.1,6388.0,14.18,1.4934,0.04,成功,
51,悲伤,我好像再也找不到活下去的意义了,6367.1,6388.0,14.23,1.4511,0.008,成功,
52,愤怒,你凭什么这么说我,6367.1,6388.0,14.09,1.0795,0.04,成功,
53,愤怒,这个结果简直是荒谬至极,6367.1,6388.0,14.03,1.4361,0.0,成功,
54,愤怒,我受够了你们的欺骗和背叛,6367.1,6388.0,14.09,0.8495,0.096,成功,
55,中性,今天天气不错,6367.1,6388.0,13.93,1.158,0.12,成功,
56,中性,我想了解一下这个产品的功能,6367.1,6388.0,14.31,0.8199,0.048,成功,
57,中性,请问地铁站怎么走,6367.1,6388.0,14.23,0.7863,0.0,成功,
58,复杂混合,虽然赢了比赛，但我最好的朋友受伤了,6367.1,6388.0,14.56,1.3742,0.008,成功,
59,复杂混合,我爱我的工作，但是工资真的太低了,6367.1,6388.0,14.38,1.557,0.008,成功,
60,复杂混合,你给了我这么多帮助，我却没办法回报你,6367.1,6388.0,14.42,1.2474,0.0,成功,
61,开心,你今天真好看,6367.1,6388.0,14.26,1.0381,0.024,成功,
62,开心,终于等到你了，我好开心,6367.1,6388.0,14.02,0.7855,0.096,成功,
63,开心,今天的中标消息让我兴奋得睡不着,6367.1,6388.0,14.32,1.7816,0.0,成功,
64,悲伤,一切都结束了,6367.1,6388.0,14.09,1.3063,0.016,成功,
65,悲伤,他走了，再也不会回来了,6367.1,6388.0,13.92,1.2024,0.096,成功,
66,悲伤,我好像再也找不到活下去的意义了,6367.1,6388.0,14.32,1.1836,0.0,成功,
67,愤怒,你凭什么这么说我,6367.1,6388.0,14.25,1.2182,0.0,成功,
68,愤怒,这个结果简直是荒谬至极,6367.1,6388.0,14.12,1.5859,0.08,成功,
69,愤怒,我受够了你们的欺骗和背叛,6367.1,6388.0,14.72,1.0554,0.016,成功,
70,中性,今天天气不错,6367.1,6388.0,14.17,1.116,0.048,成功,
71,中性,我想了解一下这个产品的功能,6367.1,6388.0,14.09,1.0039,0.056,成功,
72,中性,请问地铁站怎么走,6367.1,6388.0,14.11,1.2347,0.0,成功,
73,复杂混合,虽然赢了比赛，但我最好的朋友受伤了,6367.1,6388.0,14.13,1.1775,0.032,成功,
74,复杂混合,我爱我的工作，但是工资真的太低了,6367.1,6388.0,14.09,1.3588,0.032,成功,
75,复杂混合,你给了我这么多帮助，我却没办法回报你,6367.1,6388.0,14.42,0.9874,0.008,成功,
76,开心,你今天真好看,6367.1,6388.0,14.07,0.8809,0.08,成功,
77,开心,终于等到你了，我好开心,6367.1,6388.0,14.04,0.9701,0.192,成功,
78,开心,今天的中标消息让我兴奋得睡不着,6367.1,6388.0,14.05,1.3172,0.072,成功,
79,悲伤,一切都结束了,6367.1,6388.0,14.08,0.5746,0.576,成功,
80,悲伤,他走了，再也不会回来了,6367.1,6388.0,13.95,1.2319,0.128,成功,
81,悲伤,我好像再也找不到活下去的意义了,6367.1,6388.0,14.27,1.19,0.0,成功,
82,愤怒,你凭什么这么说我,6367.1,6388.0,14.27,1.0635,0.024,成功,
83,愤怒,这个结果简直是荒谬至极,6367.1,6388.0,14.44,1.4842,0.04,成功,
84,愤怒,我受够了你们的欺骗和背叛,6367.1,6388.0,14.34,1.1029,0.016,成功,
85,中性,今天天气不错,6367.1,6388.0,14.01,1.4215,0.016,成功,
86,中性,我想了解一下这个产品的功能,6367.1,6388.0,14.49,1.3146,0.0,成功,
87,中性,请问地铁站怎么走,6367.1,6388.0,14.2,0.8624,0.024,成功,
88,复杂混合,虽然赢了比赛，但我最好的朋友受伤了,6367.1,6388.0,15.85,1.2923,0.008,成功,
89,复杂混合,我爱我的工作，但是工资真的太低了,6367.1,6388.0,14.7,1.6589,0.008,成功,
90,复杂混合,你给了我这么多帮助，我却没办法回报你,6367.1,6388.0,14.46,1.4755,0.0,成功,
91,开心,你今天真好看,6367.1,6388.0,14.26,1.0751,0.016,成功,
92,开心,终于等到你了，我好开心,6367.1,6388.0,14.52,1.0023,0.032,成功,
93,开心,今天的中标消息让我兴奋得睡不着,6367.1,6388.0,14.92,1.6393,0.008,成功,
94,悲伤,一切都结束了,6367.1,6388.0,14.13,0.8689,0.04,成功,
95,悲伤,他走了，再也不会回来了,6367.1,6388.0,14.05,1.4977,0.072,成功,
96,悲伤,我好像再也找不到活下去的意义了,6367.1,6388.0,14.46,1.4808,0.0,成功,
97,愤怒,你凭什么这么说我,6367.1,6388.0,14.2,1.3987,0.032,成功,
98,愤怒,这个结果简直是荒谬至极,6367.1,6388.0,13.99,1.5662,0.144,成功,
99,愤怒,我受够了你们的欺骗和背叛,6367.1,6388.0,14.51,1.0923,0.096,成功,
100,中性,今天天气不错,6367.1,6388.0,14.38,1.0875,0.008,成功,
